date,open,high,low,close,volume
2023-11-07,69.6300,69.9900,69.4400,69.8500,15807514
2023-11-03,68.5000,70.1700,68.3900,69.8000,40889214
2023-10-27,68.0800,68.7900,67.9900,68.7150,43194066
2023-10-20,69.2600,69.2600,68.0000,68.2850,31284326
2023-10-13,69.0700,69.7350,69.0597,69.4500,44906365
2023-10-06,69.3200,69.3700,68.4900,68.7800,37965484
2023-09-29,70.1100,70.1800,69.3800,69.7800,54430903
2023-09-22,70.6700,70.9200,70.1700,70.4700,32880971
2023-09-15,70.9000,71.1350,70.7700,70.7900,24778085
2023-09-08,71.0500,71.1700,70.6600,71.0000,21448373
2023-09-01,71.2500,71.8600,71.1100,71.2100,23593148
2023-08-25,70.6100,71.2700,70.4500,71.0900,22827759
2023-08-18,71.1550,71.3161,70.5800,70.8700,30622432
2023-08-11,71.6300,72.0200,71.2250,71.2400,24036878
2023-08-04,72.3000,72.4900,71.0300,71.7000,34554427
2023-07-28,72.7100,72.7599,71.9700,72.2900,22848840
2023-07-21,72.5800,72.9800,72.4260,72.6200,35646193
2023-07-14,71.5600,72.9500,71.5500,72.5700,29816989
2023-07-07,72.4900,72.6500,71.3500,71.5000,18902507
2023-06-30,72.9100,73.0298,72.3150,72.6900,28036598
2023-06-23,72.7800,72.9900,72.5300,72.8100,16739326
2023-06-16,72.6300,72.9200,72.2000,72.7300,23888601
2023-06-09,72.4900,72.8450,72.2900,72.5500,30261553
2023-06-02,72.5500,73.1850,72.5150,72.6400,17010996
2023-05-26,72.7100,72.8750,72.0700,72.3200,21896584
2023-05-19,73.5200,73.5250,72.6100,72.6700,19358767
2023-05-12,73.5000,74.2400,73.3600,73.6700,26732172
2023-05-05,73.6000,74.3800,73.0630,73.8000,28256631
2023-04-28,73.6200,74.2900,73.6200,74.0800,19868481
2023-04-21,73.4500,73.7700,73.1500,73.4800,20401756
2023-04-14,74.0300,74.2900,73.6100,73.6800,22123565
2023-04-06,73.5800,74.9000,73.5200,74.4400,18200779
2023-03-31,73.6000,73.8700,73.1500,73.8300,21479069
2023-03-24,73.7800,74.4200,73.0700,74.1700,26173098
2023-03-17,73.3300,73.9199,72.6638,73.7200,30698060
2023-03-10,72.0300,72.8299,71.4450,72.6700,22943852
2023-03-03,72.0500,72.1800,71.1700,71.8800,21776869
2023-02-24,72.0800,72.3543,71.8003,71.9300,29604311
2023-02-17,72.8900,73.0800,72.1900,72.5400,23582741
2023-02-10,73.5100,73.7000,72.8300,72.8700,22139649
2023-02-03,73.9600,74.8600,73.7900,73.9100,28841360
2023-01-27,73.8800,74.3600,73.7800,74.0900,22779824
2023-01-20,73.7550,74.6550,73.7400,74.0700,21407627
2023-01-13,73.3100,74.2200,73.0900,73.9700,32938724
2023-01-06,72.4500,73.3900,72.0700,73.3500,25151672
2022-12-30,72.1300,72.2300,71.8000,71.8400,29270975
2022-12-23,73.3900,73.4100,72.4500,72.5300,32127100
2022-12-16,73.4600,74.1500,73.0500,73.6900,44274274
2022-12-09,73.1600,73.8350,72.8300,73.1600,40067426
2022-12-02,72.6100,73.5100,72.0100,73.5000,31060401
2022-11-25,71.9900,72.5600,71.7200,72.5600,23760487
2022-11-18,71.2900,72.2300,71.2050,71.7500,42346610
2022-11-11,69.9100,71.5300,69.6300,71.4900,31413273
2022-11-04,70.3600,70.7300,69.5650,69.9000,39216722
2022-10-28,69.4800,70.8550,69.2300,70.5700,32363846
2022-10-21,70.5500,70.6800,69.0900,69.5000,46342211
2022-10-14,70.9300,70.9500,69.7900,70.1200,32832029
2022-10-07,71.7000,72.2400,70.8700,70.9300,32271255
2022-09-30,71.7700,71.9000,70.6650,71.3300,45274294
2022-09-23,72.9900,73.1800,71.7500,72.0000,29587559
2022-09-16,74.0000,74.0700,73.0150,73.1600,27838897
2022-09-09,73.9400,74.1200,73.5400,73.8300,18486127
2022-09-02,74.9500,75.0800,73.7500,74.2300,25059325
2022-08-26,75.3300,75.4500,74.8400,75.1900,22227137
