date,open,high,low,close,volume
2023-11-07,21.8000,21.8500,21.0200,21.0600,1818873
2023-11-03,21.9200,21.9800,21.5000,21.6700,4419618
2023-10-27,22.3800,22.3800,21.5300,22.1100,3729217
2023-10-20,22.1700,22.6900,21.9300,22.4100,3567398
2023-10-13,21.7300,22.2701,21.4000,22.2600,4398257
2023-10-06,22.5300,22.5699,21.1304,21.3400,5365742
2023-09-29,22.5500,22.9200,22.3700,22.5100,3823504
2023-09-22,22.8900,22.9505,22.4900,22.5800,2743405
2023-09-15,22.4500,22.9050,22.3200,22.8100,3427981
2023-09-08,22.1800,22.3500,22.0100,22.2500,2771391
2023-09-01,21.4200,22.0179,21.2900,22.0100,4236829
2023-08-25,21.4300,21.5200,20.9150,21.5000,2738617
2023-08-18,21.4600,21.5200,20.9100,21.2800,2768053
2023-08-11,21.4800,21.8400,21.0850,21.5600,3145269
2023-08-04,21.4800,21.6000,21.0523,21.4600,4133096
2023-07-28,21.0500,21.4800,21.0000,21.4500,1261754
2023-07-21,20.2300,20.8700,20.1400,20.8600,803660
2023-07-14,19.8800,20.5400,19.8100,20.3800,1187515
2023-07-07,19.5200,19.9250,19.4100,19.9000,710273
2023-06-30,19.5100,19.7200,19.0300,19.4900,1213425
2023-06-23,19.8800,20.1900,19.2900,19.5300,1106249
2023-06-16,19.0000,20.0800,18.8600,20.0300,2091141
2023-06-09,19.5500,19.6000,19.0900,19.3200,1703371
2023-06-02,18.9800,19.3700,18.6500,19.3600,2806317
2023-05-26,19.1800,19.5650,19.0045,19.3700,1731705
2023-05-19,19.1500,19.4600,19.1200,19.2500,1715973
2023-05-12,19.6000,19.6300,18.9800,19.0300,3748506
2023-05-05,19.7800,19.8700,18.6450,19.2600,3537644
2023-04-28,20.1700,20.4277,19.5100,19.9100,2428802
2023-04-21,20.9200,20.9850,20.1500,20.2100,1679503
2023-04-14,20.5900,21.0999,20.5650,20.9800,1623505
2023-04-06,20.6800,20.8300,20.4600,20.6200,3456325
2023-03-31,19.3700,20.1200,19.3200,20.1200,2151306
2023-03-24,18.8800,19.5043,18.7650,19.2400,2947382
2023-03-17,19.7300,20.1600,18.6500,18.8900,3494494
2023-03-10,20.6100,20.8500,19.8950,20.1300,2774257
2023-03-03,20.2300,20.8700,20.0700,20.8700,3560552
2023-02-24,20.4500,20.5600,19.8600,20.2200,1545407
2023-02-17,20.7500,20.9800,20.0800,20.3000,2536446
2023-02-10,20.0700,20.9000,19.7200,20.9000,2577138
2023-02-03,21.0700,21.2400,19.9900,19.9900,5894762
2023-01-27,21.5400,21.6699,21.1300,21.2000,2637326
2023-01-20,21.2400,21.5799,21.0450,21.4900,1759905
2023-01-13,20.2900,21.1600,20.0550,21.1500,3866347
2023-01-06,20.9200,21.0825,19.7700,19.9700,7280796
2022-12-30,20.8600,21.4200,20.6500,21.2300,3088135
2022-12-23,20.4900,21.1300,20.1900,21.0900,5648493
2022-12-16,20.0600,21.0050,20.0600,20.4300,10517247
2022-12-09,21.4000,21.4500,19.6900,19.8900,10098555
2022-12-02,20.6300,21.9200,20.5900,21.2100,9529306
2022-11-25,21.0300,21.8100,20.7850,21.0200,5948814
2022-11-18,22.3200,22.5700,21.1300,21.4400,5262470
2022-11-11,22.9500,23.1500,21.8300,22.4200,5859814
2022-11-04,21.8400,22.9800,21.6900,22.9800,6058450
2022-10-28,21.5600,22.2800,21.4800,21.9800,4106964
2022-10-21,21.8800,21.9300,21.2150,21.5800,4263998
2022-10-14,22.7100,22.8800,21.6800,21.7300,4720974
2022-10-07,21.1400,22.7400,20.8900,22.6100,8016901
2022-09-30,20.4700,21.0500,20.0000,20.5800,9460830
2022-09-23,20.9600,21.7500,20.4100,20.5300,5199591
2022-09-16,22.1400,22.3500,21.2850,21.3800,5127896
2022-09-09,21.9500,21.9800,21.0900,21.8700,6564583
2022-09-02,23.1500,23.5400,21.7000,21.8900,9036609
2022-08-26,22.3100,23.4000,22.0000,23.0700,5739216
2022-08-19,21.7700,22.6200,21.7300,22.3800,7291235
2022-08-12,21.4300,22.8100,21.4100,22.5700,8038144
2022-08-05,22.2200,22.4400,21.2450,21.4700,7155070
2022-07-29,22.1900,23.4200,22.0400,22.9300,5139231
