date,open,high,low,close,volume
2023-11-07,77.4300,77.4800,75.7300,75.8000,9666589
2023-11-03,71.6800,78.6100,70.6114,77.5900,32872243
2023-10-27,71.7300,72.9000,70.9500,71.2500,39104001
2023-10-20,76.0200,77.2800,72.3500,72.4000,28767670
2023-10-13,73.8400,76.8450,73.7600,75.4900,24852748
2023-10-06,75.4100,75.7000,72.3400,74.3200,34660393
2023-09-29,77.1300,77.4350,74.8500,75.6600,29096788
2023-09-22,81.8100,81.8100,77.3800,77.4400,20955393
2023-09-15,81.6900,82.3000,80.4600,81.8100,17472972
2023-09-08,82.2800,82.4500,80.7800,81.5800,15633092
2023-09-01,81.2700,83.2050,81.2700,82.5200,16820698
2023-08-25,80.2500,82.3100,79.0399,80.9400,19203824
2023-08-18,83.1900,83.1900,79.4950,80.4400,17856122
2023-08-11,83.2500,84.3900,82.6300,83.3300,18827886
2023-08-04,84.9400,85.7400,82.5900,83.0300,26516720
2023-07-28,86.2100,87.3200,84.5500,84.7100,30372327
2023-07-21,85.9100,86.4500,84.3800,86.1800,26015787
2023-07-14,83.4700,86.5500,83.2400,86.1300,23941855
2023-07-07,83.4300,85.1000,82.3600,83.7300,20873194
2023-06-30,80.1300,84.0100,80.0200,83.5600,22575873
2023-06-23,83.6200,83.7200,80.0950,80.1300,17589374
2023-06-16,82.6200,84.6800,81.9500,83.9200,22048049
2023-06-09,81.8600,83.9000,81.2000,82.6800,18787677
2023-06-02,79.5800,82.1900,79.1100,81.9600,18252636
2023-05-26,80.4700,81.5450,77.8100,79.3000,23251429
2023-05-19,82.1700,82.3800,79.6200,80.4000,22540076
2023-05-12,82.8100,83.2650,81.2500,82.0300,24218988
2023-05-05,83.3080,83.6200,80.4300,82.9900,29591249
2023-04-28,82.3600,83.7100,80.2900,83.3000,25720574
2023-04-21,81.1900,83.3700,81.1900,82.3700,22703437
2023-04-14,82.0000,83.9800,80.5650,81.1900,23695075
2023-04-06,82.9400,83.6200,81.4700,82.3900,27858669
2023-03-31,79.2600,83.1150,77.8200,83.0400,26520955
2023-03-24,81.1600,82.2200,76.2200,78.7900,34263116
2023-03-17,80.3900,83.6200,80.0900,80.5500,54707337
2023-03-10,87.3300,87.4100,80.3800,80.8100,32510460
2023-03-03,86.5400,87.1500,83.9200,86.9300,29224885
2023-02-24,88.6100,88.6200,85.2650,85.7100,20523417
2023-02-17,90.1800,91.1600,88.3200,89.1700,19602447
2023-02-10,90.8000,91.5300,88.7600,89.9600,20762604
